"id","SYMBOL"
"17214307","STK36"
"17214341","TTLL4"
"17214368","CYP27A1"
"17214380","WNT6"
"17214387","WNT10A"
"17214395",NA
"17214400","CDK5R2"
"17214405",NA
"17214409","FAM134A"
"17214421","ZFAND2B"
"17214433","ANKZF1"
"17214449","STK16"
"17214462","DNAJB2"
"17214476","DES"
"17214487","SPEG"
"17214543","GMPPA"
"17214564","ACCN4"
"17214578","TMEM198"
"17214588","INHA"
"17214593","STK11IP"
"17214622","SLC4A3"
"17214650","LOC100862333"
"17214656","GM17751"
"17214663",NA
"17214665","SGPP2"
"17214672","MOGAT1"
"17214685","ACSL3"
"17214711","KCNE4"
"17214719","LOC100862182"
"17214722","MRPL44"
"17214729","LOC100862198"
"17214731","1700016L21RIK"
"17214735","9430031J16RIK"
"17214753","IRS1"
"17214757","GM19537"
"17214759","RHBDD1"
"17214771","COL4A3"
"17214823",NA
"17214825","MFF"
"17214841","AGFG1"
"17214857","CCL20"
"17214865","WDR69"
"17214881",NA
"17214883","FBXO36"
"17214892",NA
"17214899","GM7609"
"17214904","C130026I21RIK"
"17214907","CSPRS"
"17214910","GM2427"
"17214921",NA
"17214924","SP140"
"17214948","SP100"
"17214979","SP100"
"17214981",NA
"17214983","CAB39"
"17214998","ITM2C"
"17215008","4933407L21RIK"
"17215016","SPATA3"
"17215029","2810459M11RIK"
"17215035","PSMD1"
"17215065",NA
"17215067","ARMC9"
"17215097","B3GNT7"
"17215101","GM5258"
"17215105","C130036L24RIK"
"17215111","1700019O17RIK"
"17215113",NA
"17215115","PTMA"
"17215123","COPS7B"
"17215137","DIS3L2"
"17215166","AKP3"
"17215178","PRSS56"
"17215192","CHRND"
"17215208","CHRNG"
"17215222","EIF4E2"
"17215238",NA
"17215240","EFHD1"
"17215251","GIGYF2"
"17215291","3110079O15RIK"
"17215296","A530079E22RIK"
"17215298","NEU2"
"17215309","INPP5D"
"17215345","ATG16L1"
"17215370",NA
"17215372","SCARNA6"
"17215374",NA
"17215376","SAG"
"17215395","DGKD"
"17215427",NA
"17215429","UGT1A10"
"17215462","HEATR7B1"
"17215507","TRPM8"
"17215539","SPP2"
"17215550","GM19589"
"17215557","2410088K16RIK"
"17215561","1700067G17RIK"
"17215565","SH3BP4"
"17215576","AGAP1"
"17215597",NA
"17215599",NA
"17215601","GBX2"
"17215605","CXCR7"
"17215612","COPS8"
"17215623",NA
"17215629","MLPH"
"17215647","PRLH"
"17215650","LRRFIP1"
"17215681","RBM44"
"17215697","RAMP1"
"17215705","UBE2F"
"17215720","SCLY"
"17215738","ESPNL"
"17215750","KLHL30"
"17215762","FAM132B"
"17215773","TRAF3IP1"
"17215788","ASB1"
"17215799","TWIST2"
"17215807","OLFR1413"
"17215811","OLFR1412"
"17215813","OLFR1411"
"17215815","OLFR1410"
"17215817","OLFR12"
"17215820","GPC1"
"17215832","MIR149"
"17215834","DUSP28"
"17215839","RNPEPL1"
"17215853","CAPN10"
"17215873","GPR35"
"17215879","AQP12"
"17215885","AGXT"
"17215899","E030010N08RIK"
"17215932","SNED1"
"17215968","PPP1R7"
"17215982",NA
"17215984","ANO7"
"17216010",NA
"17216012","SEPT2"
"17216031","FARP2"
"17216061",NA
"17216063","BOK"
"17216070","ATG4B"
"17216087","ING5"
"17216096","D2HGDH"
"17216113","GAL3ST2"
"17216120","GM9994"
"17216127","GM7889"
"17216133","GM6086"
"17216144","NEU4"
"17216153","4930440C22RIK"
"17216158","FAM174A"
"17216165",NA
"17216167",NA
"17216169",NA
"17216172","GM7133"
"17216186","GM7135"
"17216201","GIN1"
"17216215",NA
"17216217",NA
"17216219","1810006J02RIK"
"17216223","SLCO6D1"
"17216240",NA
"17216242",NA
"17216244","GM20253"
"17216246","CNTNAP5B"
"17216272",NA
"17216274","GM20268"
"17216278",NA
"17216280","CDH20"
"17216296","RNF152"
"17216301",NA
"17216303","2310035C23RIK"
"17216339","TNFRSF11A"
"17216351",NA
"17216353","ZCCHC2"
"17216373","PHLPP1"
"17216395","BCL2"
"17216402","SERPINB5"
"17216412","SERPINB12"
"17216425","SERPINB13"
"17216436","SERPINB11"
"17216447","SERPINB7"
"17216458","SERPINB2"
"17216469","SERPINB10"
"17216478","SERPINB8"
"17216490",NA
"17216494",NA
"17216496",NA
"17216498","CDH7"
"17216525",NA
"17216527","CNTNAP5A"
"17216554",NA
"17216556","GM7145"
"17216563","MKI67IP"
"17216574","CLASP1"
"17216620","TFCP2L1"
"17216638","TMEM185B"
"17216640",NA
"17216642","SCTR"
"17216659","3110009E18RIK"
"17216671","C1QL2"
"17216676","EN1"
"17216683","B230209K01RIK"
"17216690","CCDC93"
"17216718","DDX18"
"17216721",NA
"17216723",NA
"17216727","SLC35F5"
"17216745","GPR39"
"17216753","MGAT5"
"17216775",NA
"17216777",NA
"17216779","ACMSD"
"17216792","CCNT2"
"17216809","RAB3GAP1"
"17216834","RPL28"
"17216836","R3HDM1"
"17216868","MIR128-1"
"17216870","UBXN4"
"17216886",NA
"17216888","THSD7B"
"17216926",NA
"17216931",NA
"17216937","YOD1"
"17216942","AA986860"
"17216949","FCAMR"
"17216960","PIGR"
"17216976","FAIM3"
"17216990","IL10"
"17216998","EIF2D"
"17217022","FAM72A"
"17217030","AVPR1B"
"17217035","CTSE"
"17217048","5430435G22RIK"
"17217058","SLC26A9"
"17217083","PM20D1"
"17217101","SLC41A1"
"17217116","RAB7L1"
"17217127","NUCKS1"
"17217136","SLC45A3"
"17217145","ELK4"
"17217155","MFSD4"
"17217158",NA
"17217160","LEMD1"
"17217169","MIR135B"
"17217171","GM7241"
"17217174","KLHDC8A"
"17217182","NUAK2"
"17217193","TMCC2"
"17217197","DSTYK"
"17217216","RBBP5"
"17217232","TMEM81"
"17217237","GM10538"
"17217241","LRRN2"
"17217247","PIK3C2B"
"17217283","PPP1R15B"
"17217291","PLEKHA6"
"17217321","GOLT1A"
"17217329","KISS1"
"17217335","REN1"
"17217350","ETNK2"
"17217364",NA
"17217366",NA
"17217369","PRELP"
"17217373","FMOD"
"17217380","GM8618"
"17217383","CHIT1"
"17217399","CHI3L1"
"17217415","MYBPH"
"17217428","MYOG"
"17217434","4933406M09RIK"
"17217440","CYB5R1"
"17217455","ADIPOR1"
"17217469","KLHL12"
"17217487","RABIF"
"17217495",NA
"17217497","LOC100503055"
"17217500","KDM5B"
"17217536","SYT2"
"17217552","UBE2T"
"17217562","GM10535"
"17217566","PTPN7"
"17217580","ARL8A"
"17217590",NA
"17217592",NA
"17217596","LMOD1"
"17217602","NAV1"
"17217610","CSRP1"
"17217619","PHLDA3"
"17217625","TNNI1"
"17217639","LAD1"
"17217651","TNNT2"
"17217666","TMEM9"
"17217678","CACNA1S"
"17217728","KIF21B"
"17217768",NA
"17217771","GM3878"
"17217774","GPR25"
"17217777","DDX59"
"17217789","KIF14"
"17217821","ZFP281"
"17217825","GM19705"
"17217830","GM16880"
"17217836",NA
"17217838",NA
"17217840",NA
"17217844","MIR181A-1"
"17217846","MIR181B-1"
"17217848","ATP6V1G3"
"17217854","DENND1B"
"17217887","4930596I21RIK"
"17217891","4933436E23RIK"
"17217901","ZBTB41"
"17217914","ASPM"
"17217946","F13B"
"17217963",NA
"17217965",NA
"17217967",NA
"17217969","KCNT2"
"17218004",NA
"17218006","B3GALT2"
"17218013","GLRX2"
"17218027","UCHL5"
"17218040",NA
"17218042",NA
"17218044","FAM5C"
"17218058",NA
"17218060","PTGS2"
"17218073","PDC"
"17218079","TPR"
"17218139","C730036E19RIK"
"17218147",NA
"17218149","IVNS1ABP"
"17218168","1190005F20RIK"
"17218186","FAM129A"
"17218209","EDEM3"
"17218233","GLT25D2"
"17218249","APOBEC4"
"17218254","ARPC5"
"17218261","NCF2"
"17218277","NMNAT2"
"17218290","1700012A16RIK"
"17218303",NA
